Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
07-03-2011,67.7400,67.9600,66.4200,66.8200,0,0,1196000
08-03-2011,68.1600,69.3700,68.1600,68.9200,0,0,1455200
09-03-2011,68.5800,68.9900,68.2000,68.6800,0,0,903000
10-03-2011,67.7200,67.8700,66.8300,67.0600,0,0,1238900
11-03-2011,66.9400,68.1000,66.9200,67.5500,0,0,1388200
14-03-2011,68.0100,68.7300,67.4500,67.8300,0,0,1124700
15-03-2011,66.0400,66.7200,65.8400,66.5000,0,0,2447400
16-03-2011,66.5100,66.7600,64.4600,64.8000,0,0,2363600
17-03-2011,65.6900,65.7300,64.9500,65.2300,0,0,904400
18-03-2011,65.3000,65.4700,64.4900,64.5500,0,0,2157300
21-03-2011,65.2000,65.4900,65.0300,65.2000,0,0,704200
22-03-2011,65.3400,65.4700,64.4900,64.5200,0,0,954900
23-03-2011,65.8800,66.4200,65.2700,66.1600,0,0,1529200
24-03-2011,66.7000,68.4800,66.6700,68.2500,0,0,1856200
25-03-2011,70.2700,70.8200,68.9500,69.2400,0,0,2473900
28-03-2011,69.7300,70.0200,69.2700,69.4200,0,0,1099700
29-03-2011,70.3600,70.9500,70.2100,70.7500,0,0,1532700
30-03-2011,70.8000,70.9600,70.2100,70.7600,0,0,1690500
31-03-2011,72.1500,73.2200,71.6500,71.7000,0,0,1734400
01-04-2011,71.9800,73.2400,71.7100,73.1100,0,0,1610400
04-04-2011,73.5600,73.7400,73.0200,73.3900,0,0,874300
05-04-2011,73.2100,73.6800,72.9600,73.4000,0,0,1030400
06-04-2011,73.6700,74.2500,72.6200,73.1400,0,0,1209900
07-04-2011,73.0000,73.6200,72.7000,73.2700,0,0,1040000
08-04-2011,73.3200,73.4200,71.6800,72.0500,0,0,1056800
